keyword,zero_pct,mean_interest
dispose,0.0,6.81
destroyed,0.0,6.7
rejection,0.0,6.68
confession,0.0,6.6
suggests,0.0,6.58
corrupt,0.0,6.57
investigate,0.0,6.55
hardship,0.0,6.55
warnings,0.0,6.51
deficit,0.0,6.45
defect,0.0,6.43
slower,0.0,6.43
distressed,0.0,6.43
transparency,0.0,6.38
manipulation,0.0,6.38
sentencing,0.0,6.38
assuming,0.0,6.32
harmful,0.0,6.28
probability,0.0,6.26
malfunction,0.0,6.25
accomplish,0.0,6.21
shuts,0.0,6.21
allegations,0.0,6.19
predictor,0.0,6.17
neglect,0.0,6.13
incomplete,0.0,6.09
interference,0.0,6.08
complicated,0.0,6.04
traumatic,0.0,6.02
approximate,0.0,6.0
imbalance,0.0,5.98
fugitive,0.0,5.92
refuses,0.0,5.91
vibrant,0.0,5.91
unwanted,0.0,5.83
confident,0.0,5.81
enthusiasm,0.0,5.79
controversial,0.0,5.75
contingent,0.0,5.72
aftermath,0.0,5.7
refused,0.0,5.7
improvements,0.0,5.62
petty,0.0,5.62
encouraging,0.0,5.6
incorrect,0.0,5.57
compliment,0.0,5.55
abundance,0.0,5.51
wasted,0.0,5.47
cease,0.0,5.47
likelihood,0.0,5.45
deception,0.0,5.43
desired,0.0,5.4
suing,0.0,5.38
tightening,0.0,5.38
declined,0.0,5.36
lagging,0.0,5.34
adverse,0.0,5.34
disturbed,0.0,5.26
contempt,0.0,5.23
foreclosure,0.0,5.21
improper,0.0,5.21
depend,0.0,5.19
complain,0.0,5.19
plea,0.0,5.09
sudden,0.0,5.06
obstacle,0.0,4.96
lying,0.0,4.96
persistent,0.0,4.94
defeated,0.0,4.92
stability,0.0,4.92
spectacular,0.0,4.89
undefined,0.0,4.89
harsh,0.0,4.89
lapse,0.0,4.89
revised,0.0,4.87
defendant,0.0,4.83
interfere,0.0,4.77
influential,0.0,4.77
deter,0.0,4.72
negatively,0.0,4.68
resign,0.0,4.66
advancement,0.0,4.64
satisfactory,0.0,4.6
impress,0.0,4.6
liquidators,0.0,4.6
overload,0.0,4.6
advances,0.0,4.58
prolonged,0.0,4.58
disadvantage,0.0,4.57
malice,0.0,4.51
overlook,0.0,4.51
impairment,0.0,4.47
distortion,0.0,4.45
negligence,0.0,4.45
unpaid,0.0,4.42
defects,0.0,4.42
unfortunate,0.0,4.4
misdemeanor,0.0,4.4
criticism,0.0,4.36
succeed,0.0,4.34
insufficiency,0.0,4.34
limitation,0.0,4.32
downward,0.0,4.32
deprivation,0.0,4.3
unfair,0.0,4.26
immature,0.0,4.23
exploit,0.0,4.21
defamation,0.0,4.17
opposition,0.0,4.17
unable,0.0,4.13
disappearing,0.0,4.09
vulnerability,0.0,4.09
foreclosures,0.0,3.98
refusing,0.0,3.98
malicious,0.0,3.92
interrupted,0.0,3.89
declining,0.0,3.89
anomaly,0.0,3.81
confess,0.0,3.77
negatives,0.0,3.77
