PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,S&P 500,Materials,Communication Services,Energy,Financials,Industrials,Information Technology,Consumer Staples,Real Estate,Utilities,Health Care,Consumer Discretionary
0.9146336272069184,-3.812671062188635,-2.0301367355413764,-0.9201050700775781,-1.8550657217987343,-1.1038100962350246,1.1251648858241772,1.4174708709227144,-0.6519523344388024,0.03511608851401725,-0.007780117477557358,0.007964588267667994,0.0,0.031213470091935758,-0.018191552802884203,-0.00819959251683866,-0.018074622858220257,0.014630457022331678,0.02742119737972426,0.03857269635527327,-0.011253097976359427,-0.01895266543138807
6.660239931070263,-5.778943017496131,-4.3934272977124715,-2.2425062487737106,-1.862616829289496,-0.11408629103601393,0.4891032546746166,0.18922480008273637,-0.699897193031309,-0.3413777523581072,0.0,0.0,-0.019013729294983683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.660239931070263,-5.778943017496131,-4.3934272977124715,-2.2425062487737106,-1.862616829289496,-0.11408629103601393,0.4891032546746166,0.18922480008273637,-0.699897193031309,-0.3413777523581072,0.008194945199539339,0.005011184073381525,0.0,-0.0034452293449782623,-0.0018807031366708804,0.006015332012349273,0.010647464150767894,0.009697237382490398,0.01562957413468835,0.01696216029650577,0.018009072323997177,0.003024526839219943
5.085198751181758,-4.011838629138632,-3.2837076931030986,-0.6875174235800178,-1.6484895096073193,-0.8438504078243789,0.8464674060612872,1.8151617045183221,-0.42822910140075027,0.19675854357681646,0.0,0.0,0.025035313482712596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.085198751181758,-4.011838629138632,-3.2837076931030986,-0.6875174235800178,-1.6484895096073193,-0.8438504078243789,0.8464674060612872,1.8151617045183221,-0.42822910140075027,0.19675854357681646,0.02292145732276296,0.007737023466962922,0.0,0.008642353736139752,0.021100264502684984,0.020302984756347398,0.03388385899823132,0.006531085049171104,-0.0009054392937321021,-0.004359527874938429,0.028895376365412284,0.026498578841686937
8.742841441075738,-3.435414525141149,-3.8364428726331945,-1.093788885963821,-1.5613457829781472,-0.6559540845923272,1.0648564433624874,2.3656116865107486,-0.3743795615083907,1.1772766859494777,0.0,0.0,0.01812065601472712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.742841441075738,-3.435414525141149,-3.8364428726331945,-1.093788885963821,-1.5613457829781472,-0.6559540845923272,1.0648564433624874,2.3656116865107486,-0.3743795615083907,1.1772766859494777,0.002254737747441782,-0.001364853172069802,0.0,-0.00935939890799864,0.015129124622598189,0.015673930806661573,-0.0012388939745523464,0.002671689353520801,-0.009664590140353924,0.0024752099791640614,-0.0035534569905348867,0.002759458124991232
5.5535868181822305,-2.3894249596206074,-2.7109201801478884,0.08108452766934579,-1.6979649222981543,-1.426821665801253,1.5757333643328597,3.2074741124125237,-0.5281152537301864,1.8517298491469651,0.0,0.0,-0.01586331643874994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5535868181822305,-2.3894249596206074,-2.7109201801478884,0.08108452766934579,-1.6979649222981543,-1.426821665801253,1.5757333643328597,3.2074741124125237,-0.5281152537301864,1.8517298491469651,0.011928908028214558,0.01691441447430142,0.0,0.024085429921472556,0.020356190944123664,0.019860622150401186,0.007858398425131252,0.014655448595435772,-0.0012197881449840242,0.0028482896048434014,0.019210744520234302,-0.006391232336703245
4.864624479674481,-2.7936135439780005,-3.8861995418653783,-0.28966021554596666,-0.12895068586173755,-0.9572769375931683,1.1387659534660908,2.238676308910641,0.031196817542203957,1.0325898823822373,0.0,0.0,-0.0385297282585737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
